time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,1.1420792085032e-07,-8.133608e-05,13.96539134,30319681.577501,15.6,30319681.577501,25245976.363896,0.7930815092616,4.421579207915e-05,44.21579207915,5665213528119.1,38.417283427957,1.1172865293067e-07,8.6966360246708e-07,3.4064284354196e-07,4.5237149647263e-07,1.1893753803173e-07,9.886011404988e-07,0.00032390119914882,0.0008147920510975,1200000,0,0,1.1420792085032e-07,1.1420792085032e-07,2.9298946114135e-12,1.8472656923159e-08,-0.00011420792085032,1.847265715551e-05,-30319681.577501,29.298946114135,184726.56923159,3.8091648075348,3.6648654160507,1.9956648075348,3.4070714041867,0.41054039740326,0,30.319681577501,30319681.577501,27.840517851047,1.9464236516933,0.00094389305091196,3.0393666371201e-06,5.3523715862381e-11,0.052360700653581,3.2114229517428e-06,0.00094389305091196,-0.00011420792085032,1.1420792085032e-07,0.0040438255428083,3.9481857852748,3.9481857852748e-13,2782001.0141932,0.7930815092616,2.1769579816036e-06,2.1769579816036,5.3523715862381e-11,3022500,2782001.0141932,25245976.363896,8.2390325101529e-05,33.427402700192,1.1420792085032e-07,1.1420792085032e-07,6.476962825788e-08,0.06476962825788,0,22500,3000000,5.0656110618668e-11,-0.020331296005608,1.847265715551e-05,1,1.4753051942666,184726.5715551,31.930102241555,31995664.807535,33.407071404187,31.585124410132,31.441428428749,0,0,-31585124.410132,-31441428.428749,-31930102.241555,-31995664.807535,0.0019607316392595,1.054245101529e-06,65542.166092536,-65542.166092536
1.5,1.4944813183211e-07,-8.133608e-05,13.96539134,30122632.646949,15.6,30122632.646949,25127556.38557,0.79433817390698,4.4180551868168e-05,44.180551868168,5518083726379.3,38.461457047109,9.3386099309423e-08,8.8387023855544e-07,3.5063297312694e-07,4.4401907243637e-07,1.1676644163478e-07,1.0006366801902e-06,0.0003468314718722,0.00081832480853708,1200000,0,0,1.4944813183211e-07,1.4944813183211e-07,-1.1554850105937e-12,1.8623993483022e-08,-0.00014944813183211,1.8623993518867e-05,-30122632.646949,-11.554850105937,186239.93483022,3.8291427529684,3.793410938781,2.0021427529684,3.41256170198,0.42346052289184,0,30.122632646949,30122632.646949,27.830640425495,1.9034267653123,0.001893338684096,2.223194951753e-06,4.1014114943868e-11,0.10493990487834,2.4608468966321e-06,0.001893338684096,-0.00014944813183211,1.4944813183211e-07,0.0040438255428083,3.9564237641693,3.9564237641693e-13,2985446.9763545,0.79433817390698,2.1790902687859e-06,2.1790902687859,4.1014114943868e-11,3045000,2985446.9763545,25127556.38557,8.240386557069e-05,33.43289633934,1.4944813183211e-07,1.4944813183211e-07,6.6457808866336e-08,0.066457808866336,0,45000,3000000,3.7053249195884e-11,-0.020334637360193,1.8623993518867e-05,1,1.4776825629483,186239.93518867,31.88621302118,32002142.752968,33.41256170198,31.578682230077,31.360332473091,0,0,-31578682.230077,-31360332.473091,-31886213.02118,-32002142.752968,0.0019607316392595,1.0677855706896e-06,65552.937644628,-65552.937644628
2.25,1.4753101921509e-07,-8.2052798490566e-05,13.96539134,30133222.140662,15.6,30133222.140662,25133925.360791,0.7942703963702,4.4182468980785e-05,44.182468980785,5525913301127.6,38.459075922656,1.0049225922979e-07,6.4219141283001e-07,3.6671066226043e-07,4.6720292149021e-07,7.7168040363646e-08,7.1935945319366e-07,0.00022344806464224,0.00061039287945171,1200000,0,0,1.4753101921509e-07,1.4753101921509e-07,-3.7268028366154e-12,2.5945652880539e-08,-0.00014753101921509,2.5945653148196e-05,-30133222.140662,-37.268028366154,259456.52880539,3.9834151294973,3.9535027077328,2.1429151294973,3.5852958726629,0.59937118683634,0,30.133222140662,30133222.140662,27.862573968166,1.8356824662078,0.0028395094419474,1.5442675197083e-06,3.0798530585345e-11,0.15739199807393,1.8479118351207e-06,0.0028395094419474,-0.00014753101921509,1.4753101921509e-07,0.0040438255428083,3.955974880364,3.955974880364e-13,3017645.9637259,0.7942703963702,2.1789627429073e-06,2.1789627429073,3.0798530585345e-11,3067500,3017645.9637259,25133925.360791,8.2829871918463e-05,33.605735634759,1.4753101921509e-07,1.4753101921509e-07,6.6365829193729e-08,0.066365829193729,0,67500,3000000,2.5737791995139e-11,-0.020439762095947,2.5945653148196e-05,1,1.5524786529048,259456.53148196,32.013929243947,32142915.129497,33.585295872663,31.543543942661,31.313021914169,0,0,-31543543.942661,-31313021.914169,-32013929.243947,-32142915.129497,0.0019607316392595,7.7707342789706e-07,65891.829119662,-65891.829119662
3,1.3067259696127e-07,-8.4202953962264e-05,13.96539134,30226970.10545,15.6,30226970.10545,25190284.930683,0.79367155363909,4.4199327403039e-05,44.199327403039,5595602045615.2,38.438031114369,1.2042132811834e-07,-9.688076020973e-08,4.1410299271625e-07,5.3452432083459e-07,-4.0598446785866e-08,-1.374792069956e-07,-0.00015229159129866,2.6352403767464e-05,1200000,0,0,1.3067259696127e-07,1.3067259696127e-07,-4.2500970683461e-12,4.7812811393055e-08,-0.00013067259696127,4.7812811581951e-05,-30226970.10545,-42.500970683461,478128.11393055,4.4131245135217,4.3863540849528,2.5591245135217,4.0996155071999,1.1117499280283,0,30.22697010545,30226970.10545,27.9799038768,1.6309367167704,0.0037802404385267,6.3670476726254e-07,1.6819034047283e-11,0.20964678691481,1.009142042837e-06,0.0037802404385267,-0.00013067259696127,1.3067259696127e-07,0.0040438255428083,3.9520310733704,3.9520310733704e-13,3045382.6190518,0.79367155363909,2.1778548315887e-06,2.1778548315887,1.6819034047283e-11,3090000,3045382.6190518,25190284.930683,8.4098314799089e-05,34.120368280286,1.3067259696127e-07,1.3067259696127e-07,6.5557671007856e-08,0.065557671007856,0,90000,3000000,1.0611746121042e-11,-0.020752773086528,4.7812811581951e-05,1,1.7751855874919,478128.11581951,32.445629552825,32559124.513522,34.0996155072,31.447374585493,31.246291574871,0,0,-31447374.585493,-31246291.574871,-32445629.552825,-32559124.513522,0.0019607316392595,-1.0463916317494e-07,66900.885630592,-66900.885630592
3.75,1.1277338336524e-07,-8.6353109433962e-05,13.96539134,30327807.95109,15.6,30327807.95109,25250855.958289,0.79302988162055,4.4217226616635e-05,44.217226616635,5671344408417.6,38.415467543282,1.3952018789788e-07,-8.380221977249e-07,4.6186141125884e-07,6.0138159915672e-07,-1.5815799515276e-07,-9.9618019287766e-07,-0.00052830832931629,0.00066530999983899,1200000,0,0,1.1277338336524e-07,1.1277338336524e-07,-3.2991775441026e-12,6.9670914466004e-08,-0.00011277338336524,6.9670914544118e-05,-30327807.95109,-32.991775441026,696709.14466004,4.8426148667631,4.8140464424317,2.9751148667631,4.6134167658943,1.6225540843827,0,30.32780795109,30327807.95109,28.097104191474,0.94598670974576,0.0047176458320678,2.2464109982762e-08,6.9316612871339e-12,0.26178130502678,4.1589967722804e-07,0.0047176458320678,-0.00011277338336524,1.1277338336524e-07,0.0040438255428083,3.9478510197771,3.9478510197771e-13,3064885.9594477,0.79302988162055,2.1766781959928e-06,2.1766781959928,6.9316612871339e-12,3112500,3064885.9594477,25250855.958289,8.536547923337e-05,34.634482234563,1.1277338336524e-07,1.1277338336524e-07,6.4701019465615e-08,0.064701019465615,0,112500,3000000,-3.7440183304603e-13,-0.021065468668439,6.9670914544118e-05,1,1.9976680587548,696709.14544118,32.885592202047,32975114.866763,34.613416765894,31.35256078238,31.192370433079,0,0,-31352560.78238,-31192370.433079,-32885592.202047,-32975114.866763,0.0019607316392595,-9.8763020059258e-07,67908.925127034,-67908.925127034
4.5,9.4898266017395e-08,-8.850326490566e-05,13.96539134,30429880.65412,15.6,30429880.65412,25312115.259247,0.7923829289899,4.4235101733983e-05,44.235101733983,5748847288541.5,38.392703998196,1.5744997076629e-07,-1.5805468114004e-06,5.1016185424613e-07,6.6761182501242e-07,-2.756058369482e-07,-1.8561526483486e-06,-0.0009039731467373,0.0013060441287721,1200000,0,0,9.4898266017395e-08,9.4898266017395e-08,-1.1016475964513e-12,9.1524231952412e-08,-9.4898266017395e-05,9.1524231959043e-05,-30429880.65412,-11.016475964513,915242.31952412,5.2719945565017,5.2404302278681,3.3909945565017,5.1269162120302,2.1322371534653,0,30.42988065412,30429880.65412,28.214229053008,10.525314529347,0.0056519826740281,5.610973247113e-07,9.8176517423226e-13,0.31380599638913,5.8905910453935e-08,0.0056519826740281,-9.4898266017395e-05,9.4898266017395e-08,0.0040438255428083,3.943684095172,3.943684095172e-13,3082392.7856107,0.7923829289899,2.1754994317663e-06,2.1754994317663,-9.8176517423226e-13,3135000,3082392.7856107,25312115.259247,8.6631899321304e-05,35.148294192639,9.4898266017395e-08,9.4898266017395e-08,6.3846981023013e-08,0.063846981023013,0,135000,3000000,-9.3516220785217e-12,-0.02137798060911,9.1524231959043e-05,1,2.2200198413462,915242.31959043,33.330320544829,33390994.556502,35.12691621203,31.258757403036,31.145099299875,0,0,-31258757.403036,-31145099.299875,-33330320.544829,-33390994.556502,0.0019607316392595,-1.8713655843566e-06,68916.372489896,-68916.372489896
5.25,7.7190964479869e-08,-9.0653420377358e-05,13.96539134,30532378.854295,15.6,30532378.854295,25373575.987934,0.79173586932829,4.425280903552e-05,44.25280903552,5827523021753.7,38.369922330461,1.7431005502722e-07,-2.3241699733323e-06,5.5896142040874e-07,7.3327147543597e-07,-3.9296953947517e-07,-2.7171395128075e-06,-0.0012792349714385,0.0019482576698352,1200000,0,0,7.7190964479869e-08,7.7190964479869e-08,2.0396807967771e-12,1.1337268747571e-07,-7.7190964479869e-05,0.00011337268749406,-30532378.854295,20.396807967771,1133726.8747571,5.7012949333628,5.6661324158572,3.8067949333628,5.6401847595482,2.6410115240884,0,30.532378854295,30532378.854295,28.331296189887,3.2201124331193,0.0065833419695305,1.0267125483803e-06,7.7076618062518e-12,0.36572448871984,4.6245970837511e-07,0.0065833419695305,-7.7190964479869e-05,7.7190964479869e-08,0.0040438255428083,3.9395637504213,3.9395637504213e-13,3098895.8041573,0.79173586932829,2.174328918591e-06,2.174328918591,-7.7076618062518e-12,3157500,3098895.8041573,25373575.987934,8.7897749954606e-05,35.661875111583,7.7190964479869e-08,7.7190964479869e-08,6.3002420038863e-08,0.063002420038863,0,157500,3000000,-1.7111875806338e-11,-0.021690352034504,0.00011337268749406,1,2.4422716419033,1133726.8749406,33.778313330142,33806794.933363,35.640184759548,31.165783409274,31.102056926614,0,0,-31165783.409274,-31102056.926614,-33778313.330142,-33806794.933363,0.0019607316392595,-2.7556704227526e-06,69923.366847003,-69923.366847003
6,5.969359530765e-08,-9.2803575849057e-05,13.96539134,30635048.211877,15.6,30635048.211877,25435085.368551,0.79109031153316,4.4270306404692e-05,44.270306404692,5907190390615.9,38.347179226015,1.9019862222413e-07,-3.0687188592718e-06,6.0821543065216e-07,7.9841405287629e-07,-5.1026436862162e-07,-3.5789832278934e-06,-0.0016540958880743,0.0025917518681776,1200000,0,0,5.969359530765e-08,5.969359530765e-08,5.8373714034848e-12,1.3521582706574e-07,-5.969359530765e-05,0.00013521582719174,-30635048.211877,58.373714034848,1352158.2706574,6.1305334683923,6.0913919825903,4.2225334683923,6.153262674834,3.1490106592888,0,30.635048211877,30635048.211877,28.448315668708,2.7645366206004,0.0075117987999351,1.442002045364e-06,1.3620214589004e-11,0.41753965696322,8.1721287534024e-07,0.0075117987999351,-5.969359530765e-05,5.969359530765e-08,0.0040438255428083,3.9354996157264,3.9354996157264e-13,3114764.1903299,0.79109031153316,2.1731703467252e-06,2.1731703467252,-1.3620214589004e-11,3180000,3114764.1903299,25435085.368551,8.9163130440402e-05,36.17526528228,5.969359530765e-08,5.969359530765e-08,6.2169319703505e-08,0.062169319703505,0,180000,3000000,-2.4033367422733e-11,-0.022002607445806,0.00013521582719174,1,2.6644408962824,1352158.2719174,34.228753566661,34222533.468392,36.153262674834,31.073522809104,31.06199649585,0,0,-31073522.809104,-31061996.49585,-34228753.566661,-34222533.468392,0.0019607316392595,-3.6404454086548e-06,70929.987197982,-70929.987197982
6.75,4.2422229287328e-08,-9.4953731320755e-05,13.96539134,30737776.371477,15.6,30737776.371477,25496576.11138,0.7904469515236,4.4287577770713e-05,44.287577770713,5987771739194.1,38.324499318617,2.0519531887311e-07,-3.8140748644922e-06,6.5788699558586e-07,8.6308231445897e-07,-6.2750060558816e-07,-4.4415754700803e-06,-0.0020285680563447,0.0032363843763707,1200000,0,0,4.2422229287328e-08,4.2422229287328e-08,1.0043628907375e-11,1.5705326548554e-07,-4.2422229287328e-05,0.00015705326580669,-30737776.371477,100.43628907375,1570532.6548554,6.5597212188707,6.5163353007128,4.6382212188707,6.6661768531174,3.6563271345049,0,30.737776371477,30737776.371477,28.565294213279,2.6022503129934,0.0084374247351801,1.8197127359055e-06,1.8928718785371e-11,0.4692541582808,1.1357231271222e-06,0.0084374247351801,-4.2422229287328e-05,4.2422229287328e-08,0.0040438255428083,3.9314952165765,3.9314952165765e-13,3130190.1364034,0.7904469515236,2.1720254908479e-06,2.1720254908479,-1.8928718785371e-11,3202500,3130190.1364034,25496576.11138,9.0428107109157e-05,36.688491616327,4.2422229287328e-08,4.2422229287328e-08,6.1348411870087e-08,0.061348411870087,0,202500,3000000,-3.0328545598424e-11,-0.022314763209806,0.00015705326580669,1,2.8865392504597,1570532.6580669,34.681136190789,34638221.218871,36.666176853117,30.981894084366,31.024181428704,0,0,-30981894.084366,-31024181.428704,-34681136.190789,-34638221.218871,0.0019607316392595,-4.5256242115977e-06,71936.286309255,-71936.286309255
