sample,rank_within_sample,case,series,model_family,rank_within_sample_model_family,mesh,selection_status,run_status,comparable_for_ranking,stages_reached,total_stages,run_end_s,q_nrmse_pct,sigma_n_nrmse_pct,tau_nrmse_pct,dn_nrmse_pct,ds_nrmse_pct,mean_nrmse_pct,accuracy_pct_100_minus_mean_nrmse,source_csv,notes
SWT1,,94_02_swt1_mc_final_mesh3,94,Mohr-Coulomb,,mesh3,matched_constitutive_baseline,partial,false,1,11,372.000000,,,,,,,,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/94_02_swt1_mc_final_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
SWT2,1,100_04_swt2_apscale0p0177_ppfix,100,BBFast,1,mesh5,targeted_calibration_probe,complete,true,11,11,2852.530000,4.335516,1.274194,1.723031,2.066893,1.259708,2.131869,97.868131,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/100_04_swt2_apscale0p0177_ppfix_hpc.csv,aperture scale 0.0170->0.0177; nominal best SWT2 score but only 0.003869 points better than 100_03 so the bracket is unresolved
SWT2,2,100_03_swt2_apscale0p0175_ppfix,100,BBFast,2,mesh5,targeted_calibration_probe,complete,true,11,11,2852.530000,4.364306,1.271138,1.718877,2.065487,1.258877,2.135737,97.864263,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/100_03_swt2_apscale0p0175_ppfix_hpc.csv,aperture scale 0.0170->0.0175; statistically tied with 100_04 at the 0.1-point reproducibility floor
SWT2,3,99_04_swt2_apscale0p0170_ppfix,99,BBFast,3,mesh5,targeted_calibration_probe,complete,true,11,11,2852.530000,4.892625,1.263352,1.708291,2.061925,1.256864,2.236611,97.763389,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/99_04_swt2_apscale0p0170_ppfix_hpc.csv,aperture scale 0.0165->0.0170; improves flow enough to reduce the mean by 0.191 points with negligible mechanical change
SWT2,4,99_03_swt2_resc8p74_ppfix,99,BBFast,4,mesh5,targeted_calibration_probe,complete,true,11,11,2852.530000,4.461597,1.057657,1.426274,2.358776,2.628996,2.386660,97.613340,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/99_03_swt2_resc8p74_ppfix_hpc.csv,residual cohesion 9.71->8.74 MPa; 0.041-point gain is below the 0.1-point reproducibility floor and shear-slip error worsens
SWT2,5,91_03_swt2_bbfast_theta30_resc8p74_kernel_SV_biot0p6,91,BBFast,5,mesh5,historical_calibration,complete,true,11,11,2852.530000,4.461599,1.057678,1.426303,2.358776,2.628995,2.386670,97.613330,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/91_03_swt2_bbfast_theta30_resc8p74_kernel_SV_biot0p6_hpc.csv,
SWT2,6,91_04_swt2_bbfast_theta30_resc9p71_kernel_SV_biot0p6,91,BBFast,6,mesh5,historical_calibration,complete,true,11,11,2852.530000,5.873095,1.255350,1.697412,2.058293,1.254954,2.427821,97.572179,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/91_04_swt2_bbfast_theta30_resc9p71_kernel_SV_biot0p6_hpc.csv,
SWT2,6,93_03_swt2_final_theta30_resc9p71_ppfix,93,BBFast,6,mesh5,authoritative_validation,complete,true,11,11,2852.530000,5.873095,1.255350,1.697412,2.058293,1.254954,2.427821,97.572179,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/93_03_swt2_final_theta30_resc9p71_ppfix_hpc.csv,
SWT2,8,96_02_swt2_biot0p2,96,BBFast,8,mesh5,sensitivity_probe,complete,true,11,11,2852.530000,6.308968,1.410704,1.907687,2.429793,1.626401,2.736711,97.263289,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/96_02_swt2_biot0p2_hpc.csv,
SWT2,9,Ye2018_SWT2_BBFast_sweep_21_F0p90_Pp0p60_T40p20_U0p84_A0p0165_BBhyd_IOsafe_kernel_SV,legacy,BBFast,9,mesh5,historical_unphysical,complete,true,11,11,2852.530000,4.488727,4.226165,1.285569,2.671901,2.816495,3.097771,96.902229,Examples/YeGhasemmi2018/SWT2/results_csv/Ye2018_SWT2_BBFast_sweep_21_F0p90_Pp0p60_T40p20_U0p84_A0p0165_BBhyd_IOsafe_kernel_SV_biot_ab_20260815.csv,historical alpha approximately zero arm; numerically scoreable but alpha < porosity is not a selectable physical calibration
SWT2,10,Ye2018_SWT2_BBFast_sweep_21_F0p90_Pp0p60_T40p20_U0p84_A0p0165_BBhyd_IOsafe_kernel_SV_biot0p6,legacy,BBFast,10,mesh5,historical_sensitivity,complete,true,11,11,2852.530000,4.373643,4.708831,2.014272,3.655308,3.912518,3.732914,96.267086,Examples/YeGhasemmi2018/SWT2/results_csv/Ye2018_SWT2_BBFast_sweep_21_F0p90_Pp0p60_T40p20_U0p84_A0p0165_BBhyd_IOsafe_kernel_SV_biot0p6_biot_ab_20260815.csv,historical physical-Biot A/B arm
SWT2,11,90_03_swt2_bbfast_theta30_cohesion_c33p2_kernel_SV_biot0p6,90,BBFast,11,mesh5,historical_calibration,complete,true,11,11,2852.530000,7.594200,2.865505,3.882244,3.462358,2.953579,4.151577,95.848423,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/90_03_swt2_bbfast_theta30_cohesion_c33p2_kernel_SV_biot0p6_hpc.csv,
SWT2,12,94_03_swt2_mc_final,94,Mohr-Coulomb,1,mesh5,matched_constitutive_baseline,complete,true,11,11,2852.530000,14.536007,19.318387,26.174530,27.857903,27.834791,23.144323,76.855677,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/94_03_swt2_mc_final_hpc.csv,
SWT2,13,89_05_swt2_bbfast_theta30_cohesion_kernel_SV_biot0p6,89,BBFast,12,mesh5,historical_calibration,complete,true,11,11,2852.530000,14.699745,19.261653,26.097578,28.067572,27.804842,23.186278,76.813722,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/89_05_swt2_bbfast_theta30_cohesion_kernel_SV_biot0p6_hpc.csv,
SWT2,14,103_02_swt2_weakexp1p0_ppfix,103,BBFast linear-weakening control,1,mesh5,mechanism_control,complete,true,11,11,2852.530000,15.367603,19.265829,26.103199,28.113888,27.844292,23.338962,76.661038,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/103_02_swt2_weakexp1p0_ppfix_hpc.csv,"exponent 1.4->1.0 alone moves 93_03 from 2.428 to 23.339, i.e. onto its MC pair at 23.144; prediction confirmed"
SWT2,15,102_02_swt2_mc_apscale0p0177_ppfix,102,Mohr-Coulomb,2,mesh5,best_case_constitutive_baseline,complete,true,11,11,2852.530000,15.648828,19.317946,26.173935,27.851803,27.831357,23.364774,76.635226,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/102_02_swt2_mc_apscale0p0177_ppfix_hpc.csv,MC on 100_04's aperture scale 0.0177; 0.220 points worse than 94_03
SWT2,16,89_03_swt2_bbfast_theta30_kernel_SV_biot0p6,89,BBFast,13,mesh5,historical_calibration,complete,true,11,11,2852.530000,14.597271,19.988283,27.081807,29.355152,29.254744,24.055451,75.944549,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/89_03_swt2_bbfast_theta30_kernel_SV_biot0p6_hpc.csv,
SWT2,17,90_04_swt2_bbfast_theta30_cohesion_c35p0_kernel_SV_biot0p6,90,BBFast,14,mesh5,historical_calibration,complete,true,11,11,2852.530000,37.006407,53.319684,72.251946,74.733561,76.062434,62.674806,37.325194,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/90_04_swt2_bbfast_theta30_cohesion_c35p0_kernel_SV_biot0p6_hpc.csv,
SWT2,,92_05_swt2_final_theta30_resc9p71_mesh3,92,BBFast,,mesh3,mesh_sensitivity,partial,false,5,11,2217.000000,,,,,,,,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/92_05_swt2_final_theta30_resc9p71_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
SWT2,,93_04_swt2_final_theta30_resc9p71_ppfix_mesh3,93,BBFast,,mesh3,mesh_sensitivity,partial,false,4,11,1773.750000,,,,,,,,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/93_04_swt2_final_theta30_resc9p71_ppfix_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
SWT2,,94_04_swt2_mc_final_mesh3,94,Mohr-Coulomb,,mesh3,matched_constitutive_baseline,partial,false,4,11,1806.000000,,,,,,,,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/94_04_swt2_mc_final_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
