sample,case,group,design,run_status,run_end_s,expected_end_s,hold,cycle,probe_time_s,sample_time_s,injection_pressure_mpa,hydraulic_aperture_um,flow_ml_min,permeability_1e13_m2,shear_slip_mm,normal_dilation_mm,effective_normal_mpa,dilation_angle_deg,slip_damage_aperture_um,cumulative_plastic_slip_m,strength_margin_mpa,weakening_state_w,hydraulic_aperture_um_ratio_to_cycle1,flow_ml_min_ratio_to_cycle1,permeability_1e13_m2_ratio_to_cycle1,shear_slip_mm_change_from_cycle1,normal_dilation_mm_change_from_cycle1,analysis_status
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,floor,2,10211.4398,10211.25,8.00000009,1.57425028,0.047452667,2.05054645,0.073870188,-0.0361369463,25.1078206,26,0.305647078,7.29727625e-05,6.33320295,0.268403115,1.00000108,1.00000324,1.00000233,-1.65140713e-07,1.56768965e-05,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,peak,3,12725.5197,12725.25,28.5700004,2.06889156,0.846234618,3.64421475,0.0741279233,-0.0479860864,16.1975264,26,0.305647078,7.29727625e-05,0.677922432,0.268403115,1.00966678,1.02928157,1.02044803,-5.24461464e-05,-0.000566264908,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,floor,3,15239.5996,15239.25,8.00000009,1.57425019,0.047452659,2.05054631,0.0738701861,-0.0361367724,25.1078096,26,0.305647078,7.29727625e-05,6.33322025,0.268403115,1.00000102,1.00000307,1.00000226,-1.67087192e-07,1.58508229e-05,valid
SWS3,101_03_sw3_cyclic3_eq,A,equal-peak 3-cycle,complete,15792.7,15792.7197,final_ambient,0,15692.7197,15693,5.75000002,1.55896972,0.0115210573,2.01350589,0.0738562489,-0.0358426367,26.1572514,26,0.305647078,7.29727625e-05,6.73746219,0.268403115,,,,,,valid
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,peak,1,2618.7,2619,27.96,1.0769892,0.116619086,0.998691258,0.0936224692,-0.0499189849,15.3065558,17.3278505,0.25562433,9.31185784e-05,-0.0368400444,0.27856342,1,1,1,0,0,qualified_failed_pre_injection_falsifier
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,floor,1,4312.83118,4312.5,8,0.778913749,0.00576438615,0.504702702,0.0938788968,-0.0355149195,24.0974563,17.307405,0.256006697,9.35932783e-05,4.38012861,0.276573561,1,1,1,0,0,qualified_failed_pre_injection_falsifier
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,peak,2,6006.96237,6007.5,27.96,1.07869847,0.117175218,1.00182711,0.0941502333,-0.0501668661,15.2752027,17.3048143,0.256054799,9.36533898e-05,-0.00158215,0.276322529,1.00158708,1.00476879,1.00313996,0.000527764152,-0.000247881238,qualified_failed_pre_injection_falsifier
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,floor,2,7701.09355,7701,8,0.779056568,0.00576755756,0.504888059,0.0939593053,-0.0355419025,24.0920881,17.3038999,0.256071777,9.3674684e-05,4.38551242,0.276233652,1.00018336,1.00055017,1.00036726,8.04085789e-05,-2.69830117e-05,qualified_failed_pre_injection_falsifier
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,peak,3,9395.22474,9394.5,27.96,1.07876963,0.11719841,1.00195775,0.0941723305,-0.0501772106,15.2738862,17.3038525,0.256072656,9.36757827e-05,-9.27882836e-05,0.276229067,1.00165315,1.00496766,1.00327077,0.000549861339,-0.000258225743,qualified_failed_pre_injection_falsifier
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,floor,3,11089.3559,11089.5,8,0.779062557,0.00576769058,0.504895804,0.093962792,-0.0355430675,24.0918538,17.3037479,0.256074597,9.36782199e-05,4.3857446,0.276218897,1.00019105,1.00057325,1.00038261,8.38952442e-05,-2.81480401e-05,qualified_failed_pre_injection_falsifier
