sample,input_deck,result_file_count,result_files,analysis_status,analysis_artifact
SWS4,Examples/YeGhasemmi2018/SWS4/93_08_sw4_final_theta30_jrc5_ppfix_mesh3.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/93_08_sw4_final_theta30_jrc5_ppfix_mesh3_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/94_07_sw4_mc_final.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/94_07_sw4_mc_final_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/94_08_sw4_mc_final_mesh3.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/94_08_sw4_mc_final_mesh3_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/95_13_sw4_rsf_aeq_b0.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_local/95_13_sw4_rsf_aeq_b0.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/95_14_sw4_rsf_a010_b005.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_local/95_14_sw4_rsf_a010_b005.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/95_15_sw4_rsf_a010_b010.i,0,,no_result_available,
SWS4,Examples/YeGhasemmi2018/SWS4/95_16_sw4_rsf_a010_b015.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_local/95_16_sw4_rsf_a010_b015.csv,table2_partial,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/96_06_sw4_biot0p2.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/96_06_sw4_biot0p2_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/96_07_sw4_fpc1p0.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/96_07_sw4_fpc1p0_hpc.csv,table2_partial,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/96_08_sw4_biot0p2_fpc1p0.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/96_08_sw4_biot0p2_fpc1p0_hpc.csv,table2_partial,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/97_04_sw4_cyclic3.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/97_04_sw4_cyclic3_hpc.csv,superseded_discussion_run,CONSOLIDATED_ANALYSIS_2026-08-18.md
SWS4,Examples/YeGhasemmi2018/SWS4/98_04_sw4_shutin.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/98_04_sw4_shutin_hpc.csv,superseded_discussion_run,CONSOLIDATED_ANALYSIS_2026-08-18.md
SWS4,Examples/YeGhasemmi2018/SWS4/99_07_sw4_weakexp1p05_ppfix.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/99_07_sw4_weakexp1p05_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWS4,Examples/YeGhasemmi2018/SWS4/99_08_sw4_eta3p0e12_ppfix.i,1,Examples/YeGhasemmi2018/SWS4/results_csv_hpc_rorqual/99_08_sw4_eta3p0e12_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
OTHER_EXAMPLE,Examples/Kalantar2025/OGSC/110_05_og_sc_bbfast_r1.i,0,,other_example_campaign_not_yeg2018,
