time,p_x0,p_x025,p_x050,p_x075,uy_top_corner
0,0,0,0,0,0
0.1,506.32910109893,506.32909982307,506.32909802319,506.29897458953,-0.0015189873500698
0.2,509.53371370384,509.53371199215,509.53367945494,509.24517363951,-0.0015286011868939
0.3,511.95745545101,511.95745344747,511.95716942785,510.66191113961,-0.0015358724115814
0.4,513.99089011608,513.99088768459,513.98928989976,510.27600567004,-0.0015419727152758
0.5,515.78046390369,515.78045975875,515.77390496521,507.89738906487,-0.0015473414364802
0.55,516.62601668864,516.62601113106,516.61559055605,506.21536378144,-0.0015498780947826
0.6,517.43052659031,517.43051867967,517.4141582248,504.0852382813,-0.0015522916244568
0.7,518.91500925,518.91498163128,518.86789928842,498.54029380242,-0.0015567450724683
0.8,520.30097451924,520.3008789894,520.188379231,492.1603753964,-0.0015609029685091
0.9,521.60654871345,521.60625551323,521.37414511546,485.28941065843,-0.001564819691926
1,522.8449386956,522.84414714121,522.41787531836,478.17396874949,-0.0015685348645513
1.05,523.44874702235,523.44760266001,522.90310802842,474.58050491489,-0.0015703462915652
1.15,524.60347296372,524.60081123869,523.71825894879,467.38900686446,-0.0015738104811535
1.2,525.16856104301,525.1648756585,524.0860054954,463.80603294824,-0.0015755057540811
1.3,526.25567614207,526.24814260498,524.65709727846,456.76442643938,-0.0015787671440271
1.3125,526.39090413469,526.38285993231,524.72590579617,455.88630267501,-0.0015791728340458
1.3625,526.92188753767,526.91121308059,524.95951578879,452.41377339651,-0.0015807658187274
1.4625,527.948426503,527.92896042796,525.26053258977,445.66188086568,-0.001583845592263
1.5625,528.94309297063,528.90987080684,525.39851635285,439.12229267261,-0.0015868299195439
1.6625,529.90886182844,529.85527964459,525.37894101469,432.80443674787,-0.0015897278641704
1.7625,530.84823590791,530.76590738556,525.20899734499,426.71113082943,-0.0015925471504431
1.8625,531.76332508523,531.64200987399,524.89705923127,420.84074242366,-0.0015952944238129
1.9625,532.65590496183,532.48350883025,524.45223144063,415.18869569379,-0.0015979754498737
2.0625,533.5274613536,533.29010281126,523.88398484788,409.74852357074,-0.0016005952686746
2.5625,537.43592424805,536.41671132212,518.97473159094,386.86929688848,-0.0016125561051466
3.5625,543.44552927194,539.33559384686,505.60842379192,352.69366347588,-0.0016335172407688
4.5625,547.54345857407,539.4857171382,491.16597678938,326.38536365215,-0.0016524100716618
5.5625,549.71441232087,537.46420393608,476.85095326808,305.561125084,-0.0016697762210689
6.5625,550.05523119237,533.79073340698,463.19681993531,288.66840383693,-0.0016859664710068
7.5625,548.74253573638,528.88086298714,450.39570185984,274.6690595124,-0.0017012201191295
8.5625,545.9928117682,523.05444563681,438.47241501025,262.84855504609,-0.0017157073277573
9.5625,542.03139649457,516.55411443507,427.37502186383,252.70105106497,-0.0017295531644722
10.5625,537.07292201471,509.56354243555,417.02126991807,243.85915991285,-0.0017428520021893
11.5625,531.31103011371,502.22234289946,407.32183057966,236.05003470382,-0.0017556765616869
12.5625,524.9143480197,494.63733878819,398.1913582315,229.06720449258,-0.0017680838317463
13.5625,518.02622006272,486.89082719044,389.55319414465,222.75200771353,-0.0017801190914924
14.5625,510.76644602856,479.04658954514,381.34081260287,216.98100775333,-0.0017918187334292
15.5625,503.23392107607,471.15427946369,373.49766233314,211.65722830488,-0.0018032123011503
16.5625,495.50953081769,463.25265913839,365.97628269457,206.70389108991,-0.0018143239954698
17.5625,487.65895287331,455.37201769127,358.73715586576,202.05983682063,-0.0018251738096437
18.5625,479.73519761754,447.53600262502,351.74752917367,197.67610873767,-0.0018357783986904
23.5625,441.16873605838,410.63014035084,321.01240086959,179.46128727724,-0.0018838120623393
26.0625,422.36068693789,392.82219154513,306.52844191607,171.05654092719,-0.0019066871608067
31.0625,387.26662529589,359.91998196306,280.36509054048,156.18887795961,-0.0019484314193397
33.5625,370.38615371456,344.14600829125,267.91840275801,149.16774642255,-0.001968360473551
38.5625,339.2887886174,315.17738577929,245.22773766478,136.45853973437,-0.0020048142661778
43.5625,310.73125148917,288.61552535695,224.49806692675,124.88895348472,-0.0020381735338568
46.0625,297.06770536233,275.91345583345,214.59733248097,119.36992057787,-0.0020541154491227
51.0625,272.02250951853,252.64216594629,196.47978598367,109.28226072887,-0.0020833037763758
53.5625,260.04759342886,241.51728843451,187.8221593346,104.46369752811,-0.0020972542663076
58.5625,238.11176828897,221.14184002925,171.97161217453,95.645107758183,-0.0021227996024543
63.5625,218.02370609036,202.4841976066,157.46014671746,87.573038565335,-0.0021461888743248
68.5625,199.62917646049,185.4001680052,144.1738521454,80.183162269627,-0.0021676043726287
73.5625,182.78604798453,169.75731676017,132.00893444254,73.417310541581,-0.0021872128035145
78.5625,167.36376671293,155.43419869145,120.8705868853,67.222555276591,-0.0022051667147406
83.5625,153.24260568979,142.31953148779,110.6721062244,61.550584956079,-0.0022216057408863
83.71875,152.80258638921,141.91087487865,110.35431890366,61.373844944932,-0.0022221179853181
86.21875,146.07235119252,135.66035190922,105.4936868291,58.670574852531,-0.0022299528985634
91.21875,133.74756849935,124.21406223581,96.592671215214,53.720238419567,-0.002244300580048
101.21875,112.93390783005,104.88398838076,81.560997455822,45.360330250441,-0.0022685303877599
106.21875,103.40514604424,96.034434028046,74.679309759475,41.533062378456,-0.0022796230990546
116.21875,87.313332064107,81.089642459237,63.057781348432,35.069722738354,-0.0022983560449303
126.21875,73.725710238634,68.47054528231,53.244785603862,29.612203426131,-0.0023141737862268
131.21875,67.505124966261,62.693362943947,48.752272169827,27.113682223586,-0.0023214153481656
136.21875,61.809399691082,57.403628655324,44.638813302877,24.825973091701,-0.0023280459053934
146.21875,52.190676365891,48.470527447565,37.692161177716,20.962577387117,-0.0023392433370923
156.21875,44.068810113832,40.927587428603,31.826540842915,17.700399879726,-0.0023486982345036
161.21875,40.350517040058,37.474334106663,29.141185685292,16.206933769648,-0.0023530268060958
171.21875,34.071205748176,31.64261182393,24.606260488847,13.684825262193,-0.0023603367324235
173.4140625,32.74630552805,30.412150428349,23.649416161517,13.152674209473,-0.0023618790867619
174.2373046875,32.256893467561,29.957623636216,23.295962258609,12.956100053011,-0.0023624488253758
180,29.159926375098,27.081408210644,21.059329379447,11.712191814973,-0.0023660540935732
