sample,law,deck,stages,Q_ml_min,sigma_n_MPa,tau_MPa,dn_mm,ds_mm,mean
SW-T1,barton_bandis,107_01_swt1_coh27p2_apscale0p01512_ppfix,11,1.1622979685078605,1.458119905401022,2.0034006282605685,1.8040599962186947,0.9389511110597359,1.4733659218895763
SW-T1,mohr_coulomb,SWT1_OrcaMohrCoulombContactTraction_pb04,11,6.527350904502613,4.822792703780184,6.655706618603235,12.629289664959343,3.8630689121482202,6.89964176079872
SW-T2,barton_bandis,100_04_swt2_apscale0p0177_ppfix,11,4.335515626853468,1.2741944661389324,1.723031207611248,2.0668928419689823,1.259708466953231,2.1318685219051723
SW-T2,mohr_coulomb,SWT2_OrcaMohrCoulombContactTraction_pb04,11,5.731918436689831,3.2551727030091033,4.41097203409159,2.6390037832945885,2.8615980317832763,3.779732997773678
SW-S3,barton_bandis,100_06_sw3_resc1p30_unld0p00_ppfix,11,3.060459667808219,3.06970308448376,7.391636732268952,6.173958003174934,2.073148555105116,4.353781208568196
SW-S3,mohr_coulomb,SWS3_OrcaMohrCoulombContactTraction_pb06,11,2.7973179541804822,3.138014515536936,7.551101011977451,11.020596293810598,1.2317817291385775,5.147762300928809
SW-S4,barton_bandis,93_07_sw4_final_theta30_jrc5_ppfix,11,5.005292942319786,3.872330426082771,10.102853867935009,4.633215646908941,7.082241194377605,6.1391868155248215
SW-S4,mohr_coulomb,SWS4_OrcaMohrCoulombContactTraction_center,11,6.306333514359033,4.405829198932209,11.406840789879531,6.689414714188414,6.193804875237366,7.000444618519312
