250,4.60000000e-14
550,4.70000000e-14
850,5.20000000e-14
1150,5.80000000e-14
1450,6.70000000e-14
1750,9.50000000e-14
2050,7.40000000e-14
2350,6.00000000e-14
2650,5.50000000e-14
2950,4.90000000e-14
3250,4.60000000e-14
